num,tag,parent_tag,depth,children
TradingSecuritiesDebt,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesDebtSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
HeldToMaturitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesFixedMaturitiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesEquitySecuritiesCurrentAlternativeAbstract,CashCashEquivalentsAndShortTermInvestments,4,TradingSecuritiesEquity|AvailableForSaleSecuritiesEquitySecuritiesCurrent|MarketableSecuritiesEquitySecuritiesCurrent
TradingSecuritiesEquity,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
OtherMarketableSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
OtherShortTermInvestments,CashCashEquivalentsAndShortTermInvestments,4,
Cash,CashCashEquivalentsAndShortTermInvestments,4,
CashEquivalentsAtCarryingValue,CashCashEquivalentsAndShortTermInvestments,4,
RestrictedCashAndCashEquivalentsCurrentAbstract,CashCashEquivalentsAndShortTermInvestments,4,RestrictedCashCurrent|RestrictedCashEquivalentsCurrent|RestrictedCashAndCashEquivalentsAtCarryingValue
RestrictedCashCurrent,CashCashEquivalentsAndShortTermInvestments,4,
RestrictedCashEquivalentsCurrent,CashCashEquivalentsAndShortTermInvestments,4,
RestrictedCashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsAndShortTermInvestments,4,
RestrictedCashCurrent,CashCashEquivalentsAndShortTermInvestments,4,
RestrictedCashEquivalentsCurrent,CashCashEquivalentsAndShortTermInvestments,4,
RestrictedCashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesRestrictedCurrent,CashCashEquivalentsAndShortTermInvestments,4,
RestrictedInvestmentsCurrent,CashCashEquivalentsAndShortTermInvestments,4,
OtherRestrictedAssetsCurrent,CashCashEquivalentsAndShortTermInvestments,4,
