account_num,net_change,tag,tag_depth,cik
2089,28488000000.0,Assets,1,896878_INTUIT INC.
2398,-630000000.0,AccountsPayableCurrent,2,896878_INTUIT INC.
2347,-1202000000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,896878_INTUIT INC.
3017,-506000000.0,OtherLiabilitiesCurrent,2,896878_INTUIT INC.
3154,-4996000000.0,LiabilitiesCurrent,2,896878_INTUIT INC.
3308,-5879000000.0,LongTermDebtNoncurrent,2,896878_INTUIT INC.
3303,-5879000000.0,LongTermDebtAndCapitalLeaseObligations,2,896878_INTUIT INC.
3379,-474000000.0,OperatingLeaseLiabilityNoncurrent,3,896878_INTUIT INC.
3796,-621000000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,896878_INTUIT INC.
3645,-6500000000.0,LiabilitiesNoncurrent,2,896878_INTUIT INC.
3465,-11496000000.0,Liabilities,1,896878_INTUIT INC.
2091,22150000000.0,AssetsNoncurrent,2,896878_INTUIT INC.
3834,-15047000000.0,RetainedEarningsAccumulatedDeficit,1,896878_INTUIT INC.
3260,-16992000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,896878_INTUIT INC.
3917,-28488000000.0,LiabilitiesAndStockholdersEquity,2,896878_INTUIT INC.
232,-38000000.0,GrossProfit,1,896878_INTUIT INC.
597,342000000.0,GeneralAndAdministrativeExpense,2,896878_INTUIT INC.
601,1111000000.0,SellingGeneralAndAdministrativeExpense,3,896878_INTUIT INC.
1112,1911000000.0,OperatingExpenses,1,896878_INTUIT INC.
1264,-307000000.0,OperatingIncomeLoss,1,896878_INTUIT INC.
2130,-22000000.0,NonoperatingIncomeExpense,1,896878_INTUIT INC.
1709,65000000.0,InterestExpense,1,896878_INTUIT INC.
1854,65000000.0,InterestAndDebtExpense,2,896878_INTUIT INC.
2149,-394000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,896878_INTUIT INC.
3316,-16992000000.0,StockholdersEquity,1,896878_INTUIT INC.
2041,429000000.0,OtherAssetsNoncurrent,2,896878_INTUIT INC.
1827,20037000000.0,IntangibleAssetsNetIncludingGoodwill,2,896878_INTUIT INC.
1732,6261000000.0,IntangibleAssetsNetExcludingGoodwill,2,896878_INTUIT INC.
645,1734000000.0,CashAndCashEquivalentsAtCarryingValue,3,896878_INTUIT INC.
577,1734000000.0,CashCashEquivalentsAndShortTermInvestments,4,896878_INTUIT INC.
320,17000000.0,ReceivablesNetCurrent,3,896878_INTUIT INC.
868,6231000000.0,AssetsCurrent,2,896878_INTUIT INC.
1634,457000000.0,OperatingLeaseRightOfUseAsset,2,896878_INTUIT INC.
1368,1013000000.0,PropertyPlantAndEquipmentNet,4,896878_INTUIT INC.
1711,13776000000.0,Goodwill,1,896878_INTUIT INC.
