account_num,net_change,tag,tag_depth,cik
3303,-8027000000.0,LongTermDebtAndCapitalLeaseObligations,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
3154,-6940000000.0,LiabilitiesCurrent,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
3017,-982000000.0,OtherLiabilitiesCurrent,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
2638,-783000000.0,DebtCurrent,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
2737,-244000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,3,42582_GOODYEAR TIRE & RUBBER CO /OH/
2347,-4972000000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,42582_GOODYEAR TIRE & RUBBER CO /OH/
2398,-4361000000.0,AccountsPayableCurrent,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
2089,22814000000.0,Assets,1,42582_GOODYEAR TIRE & RUBBER CO /OH/
2091,17516000000.0,AssetsNoncurrent,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
2041,1161000000.0,OtherAssetsNoncurrent,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
1827,2001000000.0,IntangibleAssetsNetIncludingGoodwill,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
1732,983000000.0,IntangibleAssetsNetExcludingGoodwill,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
1711,1018000000.0,Goodwill,1,42582_GOODYEAR TIRE & RUBBER CO /OH/
1368,11857000000.0,PropertyPlantAndEquipmentNet,4,42582_GOODYEAR TIRE & RUBBER CO /OH/
1634,980000000.0,OperatingLeaseRightOfUseAsset,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
868,8858000000.0,AssetsCurrent,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
260,4360000000.0,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,4,42582_GOODYEAR TIRE & RUBBER CO /OH/
455,4360000000.0,InventoryNet,2,42582_GOODYEAR TIRE & RUBBER CO /OH/
320,3033000000.0,ReceivablesNetCurrent,3,42582_GOODYEAR TIRE & RUBBER CO /OH/
207,3033000000.0,AccountsNotesAndLoansReceivableNetCurrent,4,42582_GOODYEAR TIRE & RUBBER CO /OH/
229,3033000000.0,AccountsReceivableNetCurrent,3,42582_GOODYEAR TIRE & RUBBER CO /OH/
59,-104000000.0,AllowanceForDoubtfulAccountsReceivableCurrent,3,42582_GOODYEAR TIRE & RUBBER CO /OH/
577,1049000000.0,CashCashEquivalentsAndShortTermInvestments,4,42582_GOODYEAR TIRE & RUBBER CO /OH/
