account_num,net_change,tag,tag_depth,cik
229,20908968.0,AccountsReceivableNetCurrent,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
59,-1104705.0,AllowanceForDoubtfulAccountsReceivableCurrent,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1071,3815661.0,RestrictedCashAndInvestmentsCurrent,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1549,3815661.0,RestrictedCashAndCashEquivalentsAtCarryingValue,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
577,20885344.0,CashCashEquivalentsAndShortTermInvestments,4,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2431,1552657.0,NetIncomeLossAttributableToNoncontrollingInterest,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
645,15232289.0,CashAndCashEquivalentsAtCarryingValue,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3308,-1641079.0,LongTermDebtNoncurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3154,-65288291.0,LiabilitiesCurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3017,-2433957.0,OtherLiabilitiesCurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2638,-7309034.0,DebtCurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2347,-25176155.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2398,-24983677.0,AccountsPayableCurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2089,154197189.0,Assets,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2091,20884514.0,AssetsNoncurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2041,255977.0,OtherAssetsNoncurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1827,120947.0,IntangibleAssetsNetIncludingGoodwill,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1732,120947.0,IntangibleAssetsNetExcludingGoodwill,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1368,14132165.0,PropertyPlantAndEquipmentNet,4,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1634,2379271.0,OperatingLeaseRightOfUseAsset,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
868,133312675.0,AssetsCurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
677,1068716.0,PrepaidExpenseCurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2710,-217674.0,DeferredRevenueCurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
845,87035.0,AmortizationOfDeferredCharges,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
707,961525.0,SellingAndMarketingExpense,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2764,-217674.0,ContractWithCustomerLiabilityCurrent,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1889,120947.0,OtherIntangibleAssetsNet,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
497,961525.0,SellingExpense,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3411,-1641079.0,OtherLongTermDebtNoncurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
404,87035.0,OtherAmortizationOfDeferredCharges,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
627,1068716.0,Supplies,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3303,-1641079.0,LongTermDebtAndCapitalLeaseObligations,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3379,-1928680.0,OperatingLeaseLiabilityNoncurrent,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3645,-3569759.0,LiabilitiesNoncurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
601,4122993.0,SellingGeneralAndAdministrativeExpense,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
961,-239.0,GainLossOnSaleOfPropertyPlantEquipment,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
757,375495.0,OtherAssetsCurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2841,-192478.0,TaxesPayableCurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3853,-13270936.0,MinorityInterest,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
260,20216673.0,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,4,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
455,20216673.0,InventoryNet,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
320,55584405.0,ReceivablesNetCurrent,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
207,20908968.0,AccountsNotesAndLoansReceivableNetCurrent,4,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
597,3161468.0,GeneralAndAdministrativeExpense,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
232,-12451267.0,GrossProfit,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
173,-45718809.0,Revenues,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3917,-154197189.0,LiabilitiesAndStockholdersEquity,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3260,-85339139.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3316,-72068203.0,StockholdersEquity,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3834,-41074374.0,RetainedEarningsAccumulatedDeficit,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3750,-32955927.0,AdditionalPaidInCapital,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3465,-68858050.0,Liabilities,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
487,34675437.0,OtherReceivablesNetCurrent,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2731,-7309034.0,ShortTermBorrowings,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2004,-288614.0,OtherNonoperatingIncomeExpense,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
581,2632320.0,OperatingCostsAndExpenses,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1002,-239.0,GainLossOnDispositionOfAssets1,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1112,6668278.0,OperatingExpenses,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1264,-5782989.0,OperatingIncomeLoss,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1340,-75076.0,InvestmentIncomeInterest,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1563,-75076.0,InvestmentIncomeInterestAndDividend,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1665,-75076.0,InvestmentIncomeNet,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1205,-75076.0,InvestmentIncomeNonoperating,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2130,-363690.0,NonoperatingIncomeExpense,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1709,145997.0,InterestExpense,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1854,145997.0,InterestAndDebtExpense,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2149,-6292676.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2257,-6000443.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3796,-1928680.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2399,601673.0,IncomeTaxExpenseBenefit,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1077,-5398770.0,ProfitLoss,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1912,-3846113.0,NetIncomeLoss,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2590,-3846113.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2903,-3846113.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
281,5653055.0,ShortTermInvestments,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1626,300000.0,LongTermInvestments,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1848,300000.0,LongTermInvestmentsAndReceivablesNet,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
2552,-192478.0,AccruedLiabilitiesCurrent,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
3809,-5804429.0,AccumulatedOtherComprehensiveIncomeLossNetOfTax,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
144,33267542.0,CostOfRevenue,1,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
491,2545285.0,ResearchAndDevelopmentExpense,2,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
456,87035.0,DepreciationAndAmortization,4,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
1820,-6602116.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,1735041_GREENLAND TECHNOLOGIES HOLDING CORP.
