account_num,net_change,tag,tag_depth,cik
1079,62000.0,RestrictedCashCurrent,2,"1844452_INTUITIVE MACHINES, INC."
645,46801000.0,CashAndCashEquivalentsAtCarryingValue,3,"1844452_INTUITIVE MACHINES, INC."
3750,-14967000.0,AdditionalPaidInCapital,1,"1844452_INTUITIVE MACHINES, INC."
3834,-870511000.0,RetainedEarningsAccumulatedDeficit,1,"1844452_INTUITIVE MACHINES, INC."
3316,-883328000.0,StockholdersEquity,1,"1844452_INTUITIVE MACHINES, INC."
3260,-883328000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,"1844452_INTUITIVE MACHINES, INC."
3917,-99706000.0,LiabilitiesAndStockholdersEquity,2,"1844452_INTUITIVE MACHINES, INC."
173,-18236000.0,Revenues,1,"1844452_INTUITIVE MACHINES, INC."
232,-41658000.0,GrossProfit,1,"1844452_INTUITIVE MACHINES, INC."
597,8777000.0,GeneralAndAdministrativeExpense,2,"1844452_INTUITIVE MACHINES, INC."
601,8777000.0,SellingGeneralAndAdministrativeExpense,3,"1844452_INTUITIVE MACHINES, INC."
961,-6000.0,GainLossOnSaleOfPropertyPlantEquipment,1,"1844452_INTUITIVE MACHINES, INC."
1002,-6000.0,GainLossOnDispositionOfAssets1,1,"1844452_INTUITIVE MACHINES, INC."
1112,22746000.0,OperatingExpenses,1,"1844452_INTUITIVE MACHINES, INC."
1264,-70673000.0,OperatingIncomeLoss,1,"1844452_INTUITIVE MACHINES, INC."
2130,-89000.0,NonoperatingIncomeExpense,1,"1844452_INTUITIVE MACHINES, INC."
1854,1806000.0,InterestAndDebtExpense,2,"1844452_INTUITIVE MACHINES, INC."
2149,-72568000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,"1844452_INTUITIVE MACHINES, INC."
2257,-20232000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,"1844452_INTUITIVE MACHINES, INC."
3661,-1000.0,CommonStockValue,3,"1844452_INTUITIVE MACHINES, INC."
3465,-220851000.0,Liabilities,1,"1844452_INTUITIVE MACHINES, INC."
3645,-9410000.0,LiabilitiesNoncurrent,2,"1844452_INTUITIVE MACHINES, INC."
3796,-5542000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,"1844452_INTUITIVE MACHINES, INC."
1549,62000.0,RestrictedCashAndCashEquivalentsAtCarryingValue,3,"1844452_INTUITIVE MACHINES, INC."
1071,62000.0,RestrictedCashAndInvestmentsCurrent,3,"1844452_INTUITIVE MACHINES, INC."
320,836000.0,ReceivablesNetCurrent,3,"1844452_INTUITIVE MACHINES, INC."
868,65603000.0,AssetsCurrent,2,"1844452_INTUITIVE MACHINES, INC."
1634,4651000.0,OperatingLeaseRightOfUseAsset,2,"1844452_INTUITIVE MACHINES, INC."
577,46801000.0,CashCashEquivalentsAndShortTermInvestments,4,"1844452_INTUITIVE MACHINES, INC."
1368,29445000.0,PropertyPlantAndEquipmentNet,4,"1844452_INTUITIVE MACHINES, INC."
2091,34103000.0,AssetsNoncurrent,2,"1844452_INTUITIVE MACHINES, INC."
2399,3215000.0,IncomeTaxExpenseBenefit,1,"1844452_INTUITIVE MACHINES, INC."
2089,99706000.0,Assets,1,"1844452_INTUITIVE MACHINES, INC."
2347,-612000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,"1844452_INTUITIVE MACHINES, INC."
2737,-16099000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,3,"1844452_INTUITIVE MACHINES, INC."
2638,-16099000.0,DebtCurrent,2,"1844452_INTUITIVE MACHINES, INC."
3017,-22257000.0,OtherLiabilitiesCurrent,2,"1844452_INTUITIVE MACHINES, INC."
3154,-108056000.0,LiabilitiesCurrent,2,"1844452_INTUITIVE MACHINES, INC."
3308,-3868000.0,LongTermDebtNoncurrent,2,"1844452_INTUITIVE MACHINES, INC."
3303,-3868000.0,LongTermDebtAndCapitalLeaseObligations,2,"1844452_INTUITIVE MACHINES, INC."
3379,-4903000.0,OperatingLeaseLiabilityNoncurrent,3,"1844452_INTUITIVE MACHINES, INC."
2398,-612000.0,AccountsPayableCurrent,2,"1844452_INTUITIVE MACHINES, INC."
1820,-23447000.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,"1844452_INTUITIVE MACHINES, INC."
1912,-5751000.0,NetIncomeLoss,1,"1844452_INTUITIVE MACHINES, INC."
298,296000.0,CostOfGoodsAndServicesSoldDepreciation,2,"1844452_INTUITIVE MACHINES, INC."
773,23126000.0,OtherCostOfOperatingRevenue,1,"1844452_INTUITIVE MACHINES, INC."
427,296000.0,CostDepreciationAmortizationAndDepletion,4,"1844452_INTUITIVE MACHINES, INC."
433,296000.0,CostOfGoodsAndServicesSoldDepreciationAndAmortization,3,"1844452_INTUITIVE MACHINES, INC."
1515,-6269000.0,OtherOperatingIncomeExpenseNet,2,"1844452_INTUITIVE MACHINES, INC."
3333,-736028000.0,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,3,"1844452_INTUITIVE MACHINES, INC."
2590,-9688000.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,"1844452_INTUITIVE MACHINES, INC."
2903,-9688000.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,"1844452_INTUITIVE MACHINES, INC."
1901,7000.0,DeferredIncomeTaxAssetsNet,2,"1844452_INTUITIVE MACHINES, INC."
3494,-4000.0,OtherLiabilitiesNoncurrent,2,"1844452_INTUITIVE MACHINES, INC."
3817,12825000.0,TreasuryStockValue,2,"1844452_INTUITIVE MACHINES, INC."
171,296000.0,CostOfGoodsAndServicesSold,2,"1844452_INTUITIVE MACHINES, INC."
144,23422000.0,CostOfRevenue,1,"1844452_INTUITIVE MACHINES, INC."
581,13963000.0,OperatingCostsAndExpenses,2,"1844452_INTUITIVE MACHINES, INC."
1077,-23447000.0,ProfitLoss,2,"1844452_INTUITIVE MACHINES, INC."
2004,-89000.0,OtherNonoperatingIncomeExpense,1,"1844452_INTUITIVE MACHINES, INC."
3812,12825000.0,TreasuryStockCommonValue,3,"1844452_INTUITIVE MACHINES, INC."
2431,8336000.0,NetIncomeLossAttributableToNoncontrollingInterest,1,"1844452_INTUITIVE MACHINES, INC."
1369,-1806000.0,GainsLossesOnExtinguishmentOfDebt,1,"1844452_INTUITIVE MACHINES, INC."
2614,328000.0,PreferredStockDividendsIncomeStatementImpact,2,"1844452_INTUITIVE MACHINES, INC."
2744,328000.0,PreferredStockDividendsAndOtherAdjustments,2,"1844452_INTUITIVE MACHINES, INC."
3339,-635000.0,ContractWithCustomerLiabilityNoncurrent,3,"1844452_INTUITIVE MACHINES, INC."
3279,-635000.0,DeferredRevenueNoncurrent,2,"1844452_INTUITIVE MACHINES, INC."
3400,-736028000.0,RedeemableNoncontrollingInterestEquityCarryingAmount,3,"1844452_INTUITIVE MACHINES, INC."
757,11706000.0,OtherAssetsCurrent,2,"1844452_INTUITIVE MACHINES, INC."
