account_num,net_change,tag,tag_depth,cik
1368,54941000.0,PropertyPlantAndEquipmentNet,4,96869_TEJON RANCH CO
260,8925000.0,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,4,96869_TEJON RANCH CO
645,43149000.0,CashAndCashEquivalentsAtCarryingValue,3,96869_TEJON RANCH CO
455,8925000.0,InventoryNet,2,96869_TEJON RANCH CO
320,3980000.0,ReceivablesNetCurrent,3,96869_TEJON RANCH CO
207,3980000.0,AccountsNotesAndLoansReceivableNetCurrent,4,96869_TEJON RANCH CO
229,3980000.0,AccountsReceivableNetCurrent,3,96869_TEJON RANCH CO
577,72605000.0,CashCashEquivalentsAndShortTermInvestments,4,96869_TEJON RANCH CO
868,89030000.0,AssetsCurrent,2,96869_TEJON RANCH CO
2091,438736000.0,AssetsNoncurrent,2,96869_TEJON RANCH CO
2089,580273000.0,Assets,1,96869_TEJON RANCH CO
2041,5104000.0,OtherAssetsNoncurrent,2,96869_TEJON RANCH CO
2398,-6393000.0,AccountsPayableCurrent,2,96869_TEJON RANCH CO
2347,-13985000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,96869_TEJON RANCH CO
2737,-1844000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,3,96869_TEJON RANCH CO
2638,-1844000.0,DebtCurrent,2,96869_TEJON RANCH CO
3750,-345404000.0,AdditionalPaidInCapital,1,96869_TEJON RANCH CO
3661,-13363000.0,CommonStockValue,3,96869_TEJON RANCH CO
3465,-99283000.0,Liabilities,1,96869_TEJON RANCH CO
3645,-81128000.0,LiabilitiesNoncurrent,2,96869_TEJON RANCH CO
3796,-34335000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,96869_TEJON RANCH CO
3303,-46793000.0,LongTermDebtAndCapitalLeaseObligations,2,96869_TEJON RANCH CO
3308,-46793000.0,LongTermDebtNoncurrent,2,96869_TEJON RANCH CO
3154,-18155000.0,LiabilitiesCurrent,2,96869_TEJON RANCH CO
1665,-1775000.0,InvestmentIncomeNet,2,96869_TEJON RANCH CO
1264,-1347000.0,OperatingIncomeLoss,1,96869_TEJON RANCH CO
1112,59000.0,OperatingExpenses,1,96869_TEJON RANCH CO
1002,-59000.0,GainLossOnDispositionOfAssets1,1,96869_TEJON RANCH CO
961,-59000.0,GainLossOnSaleOfPropertyPlantEquipment,1,96869_TEJON RANCH CO
3917,-580273000.0,LiabilitiesAndStockholdersEquity,2,96869_TEJON RANCH CO
3260,-480990000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,96869_TEJON RANCH CO
3316,-465629000.0,StockholdersEquity,1,96869_TEJON RANCH CO
3834,-107343000.0,RetainedEarningsAccumulatedDeficit,1,96869_TEJON RANCH CO
1205,-1775000.0,InvestmentIncomeNonoperating,2,96869_TEJON RANCH CO
691,347346000.0,InventoryRealEstate,2,96869_TEJON RANCH CO
2130,-2047000.0,NonoperatingIncomeExpense,1,96869_TEJON RANCH CO
2257,-5316000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,96869_TEJON RANCH CO
1069,330566000.0,InventoryRealEstateLandAndLandDevelopmentCosts,4,96869_TEJON RANCH CO
2764,-2326000.0,ContractWithCustomerLiabilityCurrent,3,96869_TEJON RANCH CO
3279,-11447000.0,DeferredRevenueNoncurrent,2,96869_TEJON RANCH CO
3339,-11447000.0,ContractWithCustomerLiabilityNoncurrent,3,96869_TEJON RANCH CO
2888,-4504000.0,OtherAccruedLiabilitiesCurrent,2,96869_TEJON RANCH CO
174,29456000.0,AvailableForSaleSecuritiesDebtSecuritiesCurrent,3,96869_TEJON RANCH CO
184,29456000.0,DebtSecuritiesCurrent,2,96869_TEJON RANCH CO
990,-59000.0,GainLossOnDispositionOfAssets,4,96869_TEJON RANCH CO
2710,-2326000.0,DeferredRevenueCurrent,2,96869_TEJON RANCH CO
2431,3000.0,NetIncomeLossAttributableToNoncontrollingInterest,1,96869_TEJON RANCH CO
3853,-15361000.0,MinorityInterest,1,96869_TEJON RANCH CO
2841,-3088000.0,TaxesPayableCurrent,2,96869_TEJON RANCH CO
2877,-3088000.0,AccruedIncomeTaxesCurrent,2,96869_TEJON RANCH CO
1478,-4616000.0,IncomeLossFromEquityMethodInvestments,1,96869_TEJON RANCH CO
2004,-272000.0,OtherNonoperatingIncomeExpense,1,96869_TEJON RANCH CO
3809,-481000.0,AccumulatedOtherComprehensiveIncomeLossNetOfTax,2,96869_TEJON RANCH CO
3733,-345404000.0,AdditionalPaidInCapitalCommonStock,2,96869_TEJON RANCH CO
2399,3619000.0,IncomeTaxExpenseBenefit,1,96869_TEJON RANCH CO
1820,-8935000.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,96869_TEJON RANCH CO
1077,-1697000.0,ProfitLoss,2,96869_TEJON RANCH CO
1912,-1700000.0,NetIncomeLoss,1,96869_TEJON RANCH CO
2590,-1700000.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,96869_TEJON RANCH CO
2903,-1700000.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,96869_TEJON RANCH CO
