account_num,net_change,tag,tag_depth,cik
2812,-45000000.0,InterestPayableCurrent,2,922224_PPL CORP
3853,-3000000.0,MinorityInterest,1,922224_PPL CORP
3812,950000000.0,TreasuryStockCommonValue,3,922224_PPL CORP
2841,-15000000.0,TaxesPayableCurrent,2,922224_PPL CORP
850,-22000000.0,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,7,922224_PPL CORP
144,122000000.0,CostOfRevenue,1,922224_PPL CORP
2004,-2000000.0,OtherNonoperatingIncomeExpense,1,922224_PPL CORP
2723,-218000000.0,InterestAndDividendsPayableCurrent,3,922224_PPL CORP
171,122000000.0,CostOfGoodsAndServicesSold,2,922224_PPL CORP
162,122000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,6,922224_PPL CORP
3809,-123000000.0,AccumulatedOtherComprehensiveIncomeLossNetOfTax,2,922224_PPL CORP
3733,-2987000000.0,AdditionalPaidInCapitalCommonStock,2,922224_PPL CORP
3817,950000000.0,TreasuryStockValue,2,922224_PPL CORP
3494,-35000000.0,OtherLiabilitiesNoncurrent,2,922224_PPL CORP
1705,658000000.0,PropertyPlantAndEquipmentGross,4,922224_PPL CORP
3484,-185000000.0,DefinedBenefitPensionPlanLiabilitiesNoncurrent,3,922224_PPL CORP
3540,-185000000.0,PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesNoncurrent,5,922224_PPL CORP
3383,-902000000.0,DeferredIncomeTaxLiabilitiesNet,2,922224_PPL CORP
552,122000000.0,FuelCosts,1,922224_PPL CORP
3271,-24000000.0,AssetRetirementObligationCurrent,2,922224_PPL CORP
3794,-1028000000.0,RegulatoryLiabilityNoncurrent,2,922224_PPL CORP
3481,-5000000.0,RegulatoryLiabilityCurrent,2,922224_PPL CORP
2378,447000000.0,RegulatedEntityOtherAssetsNoncurrent,3,922224_PPL CORP
2280,447000000.0,RegulatoryAssetsNoncurrent,2,922224_PPL CORP
1627,595000000.0,ConstructionInProgressGross,2,922224_PPL CORP
1183,23000000.0,RegulatoryAssetsCurrent,2,922224_PPL CORP
3564,-185000000.0,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,3,922224_PPL CORP
2552,-233000000.0,AccruedLiabilitiesCurrent,2,922224_PPL CORP
644,11000000.0,NontradeReceivablesCurrent,2,922224_PPL CORP
296,122000000.0,DirectOperatingCosts,1,922224_PPL CORP
3645,-5106000000.0,LiabilitiesNoncurrent,2,922224_PPL CORP
3796,-2103000000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,922224_PPL CORP
3550,-54000000.0,AssetRetirementObligationsNoncurrent,2,922224_PPL CORP
3303,-3003000000.0,LongTermDebtAndCapitalLeaseObligations,2,922224_PPL CORP
3308,-3003000000.0,LongTermDebtNoncurrent,2,922224_PPL CORP
3154,-409000000.0,LiabilitiesCurrent,2,922224_PPL CORP
3017,-50000000.0,OtherLiabilitiesCurrent,2,922224_PPL CORP
2638,-13000000.0,DebtCurrent,2,922224_PPL CORP
3465,-5515000000.0,Liabilities,1,922224_PPL CORP
2737,-13000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,3,922224_PPL CORP
2398,-1133000000.0,AccountsPayableCurrent,2,922224_PPL CORP
2089,9552000000.0,Assets,1,922224_PPL CORP
2091,1198000000.0,AssetsNoncurrent,2,922224_PPL CORP
2041,124000000.0,OtherAssetsNoncurrent,2,922224_PPL CORP
