account_num,net_change,tag,tag_depth,cik
890,12700000.0,EnvironmentalRemediationExpense,1,89800_SHERWIN WILLIAMS CO
1515,-10500000.0,OtherOperatingIncomeExpenseNet,2,89800_SHERWIN WILLIAMS CO
3564,-139300000.0,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,3,89800_SHERWIN WILLIAMS CO
2399,137400000.0,IncomeTaxExpenseBenefit,1,89800_SHERWIN WILLIAMS CO
1820,-752200000.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,89800_SHERWIN WILLIAMS CO
1077,-752200000.0,ProfitLoss,2,89800_SHERWIN WILLIAMS CO
1912,-477400000.0,NetIncomeLoss,1,89800_SHERWIN WILLIAMS CO
2590,-477400000.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,89800_SHERWIN WILLIAMS CO
2903,-477400000.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,89800_SHERWIN WILLIAMS CO
2716,-600000.0,LongTermDebtCurrent,2,89800_SHERWIN WILLIAMS CO
3383,-739900000.0,DeferredIncomeTaxLiabilitiesNet,2,89800_SHERWIN WILLIAMS CO
3494,-1689900000.0,OtherLiabilitiesNoncurrent,2,89800_SHERWIN WILLIAMS CO
3817,4100800000.0,TreasuryStockValue,2,89800_SHERWIN WILLIAMS CO
3809,-665800000.0,AccumulatedOtherComprehensiveIncomeLossNetOfTax,2,89800_SHERWIN WILLIAMS CO
171,3021500000.0,CostOfGoodsAndServicesSold,2,89800_SHERWIN WILLIAMS CO
3540,-139300000.0,PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesNoncurrent,5,89800_SHERWIN WILLIAMS CO
144,3021500000.0,CostOfRevenue,1,89800_SHERWIN WILLIAMS CO
581,96400000.0,OperatingCostsAndExpenses,2,89800_SHERWIN WILLIAMS CO
2004,-3200000.0,OtherNonoperatingIncomeExpense,1,89800_SHERWIN WILLIAMS CO
110,-5442400000.0,RevenueFromContractWithCustomerExcludingAssessedTax,2,89800_SHERWIN WILLIAMS CO
2603,-5442400000.0,NoninterestIncome,1,89800_SHERWIN WILLIAMS CO
2731,-1481300000.0,ShortTermBorrowings,1,89800_SHERWIN WILLIAMS CO
757,524400000.0,OtherAssetsCurrent,2,89800_SHERWIN WILLIAMS CO
2841,-315100000.0,TaxesPayableCurrent,2,89800_SHERWIN WILLIAMS CO
1133,12700000.0,RestructuringSettlementAndImpairmentProvisions,3,89800_SHERWIN WILLIAMS CO
2673,-528000000.0,EmployeeRelatedLiabilitiesCurrent,2,89800_SHERWIN WILLIAMS CO
1025,83700000.0,AmortizationOfIntangibleAssets,1,89800_SHERWIN WILLIAMS CO
845,83700000.0,AmortizationOfDeferredCharges,1,89800_SHERWIN WILLIAMS CO
3499,-139300000.0,OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,3,89800_SHERWIN WILLIAMS CO
456,83700000.0,DepreciationAndAmortization,4,89800_SHERWIN WILLIAMS CO
819,2700000.0,DeferredIncomeTaxExpenseBenefit,1,89800_SHERWIN WILLIAMS CO
2257,-614800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,89800_SHERWIN WILLIAMS CO
2149,-4341400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,89800_SHERWIN WILLIAMS CO
2638,-1481900000.0,DebtCurrent,2,89800_SHERWIN WILLIAMS CO
3017,-1037200000.0,OtherLiabilitiesCurrent,2,89800_SHERWIN WILLIAMS CO
3154,-6306000000.0,LiabilitiesCurrent,2,89800_SHERWIN WILLIAMS CO
3308,-9593100000.0,LongTermDebtNoncurrent,2,89800_SHERWIN WILLIAMS CO
3303,-9593100000.0,LongTermDebtAndCapitalLeaseObligations,2,89800_SHERWIN WILLIAMS CO
3379,-1494900000.0,OperatingLeaseLiabilityNoncurrent,3,89800_SHERWIN WILLIAMS CO
3796,-4064000000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,89800_SHERWIN WILLIAMS CO
3645,-13657100000.0,LiabilitiesNoncurrent,2,89800_SHERWIN WILLIAMS CO
3465,-19963100000.0,Liabilities,1,89800_SHERWIN WILLIAMS CO
3661,-91300000.0,CommonStockValue,3,89800_SHERWIN WILLIAMS CO
3750,-3998000000.0,AdditionalPaidInCapital,1,89800_SHERWIN WILLIAMS CO
3834,-3844100000.0,RetainedEarningsAccumulatedDeficit,1,89800_SHERWIN WILLIAMS CO
2737,-600000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,3,89800_SHERWIN WILLIAMS CO
3316,-3166800000.0,StockholdersEquity,1,89800_SHERWIN WILLIAMS CO
3917,-23129900000.0,LiabilitiesAndStockholdersEquity,2,89800_SHERWIN WILLIAMS CO
232,-2420900000.0,GrossProfit,1,89800_SHERWIN WILLIAMS CO
601,1693000000.0,SellingGeneralAndAdministrativeExpense,3,89800_SHERWIN WILLIAMS CO
961,-4600000.0,GainLossOnSaleOfPropertyPlantEquipment,1,89800_SHERWIN WILLIAMS CO
1002,-4600000.0,GainLossOnDispositionOfAssets1,1,89800_SHERWIN WILLIAMS CO
1112,1794000000.0,OperatingExpenses,1,89800_SHERWIN WILLIAMS CO
1264,-4225400000.0,OperatingIncomeLoss,1,89800_SHERWIN WILLIAMS CO
1665,-3500000.0,InvestmentIncomeNet,2,89800_SHERWIN WILLIAMS CO
1205,-3500000.0,InvestmentIncomeNonoperating,2,89800_SHERWIN WILLIAMS CO
2130,-6700000.0,NonoperatingIncomeExpense,1,89800_SHERWIN WILLIAMS CO
1709,109300000.0,InterestExpense,1,89800_SHERWIN WILLIAMS CO
1854,109300000.0,InterestAndDebtExpense,2,89800_SHERWIN WILLIAMS CO
3260,-3166800000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,89800_SHERWIN WILLIAMS CO
2347,-3356700000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,89800_SHERWIN WILLIAMS CO
2398,-2513600000.0,AccountsPayableCurrent,2,89800_SHERWIN WILLIAMS CO
2089,23129900000.0,Assets,1,89800_SHERWIN WILLIAMS CO
645,151400000.0,CashAndCashEquivalentsAtCarryingValue,3,89800_SHERWIN WILLIAMS CO
577,151400000.0,CashCashEquivalentsAndShortTermInvestments,4,89800_SHERWIN WILLIAMS CO
229,2909200000.0,AccountsReceivableNetCurrent,3,89800_SHERWIN WILLIAMS CO
207,2909200000.0,AccountsNotesAndLoansReceivableNetCurrent,4,89800_SHERWIN WILLIAMS CO
320,2909200000.0,ReceivablesNetCurrent,3,89800_SHERWIN WILLIAMS CO
455,2707800000.0,InventoryNet,2,89800_SHERWIN WILLIAMS CO
260,2707800000.0,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,4,89800_SHERWIN WILLIAMS CO
868,6292800000.0,AssetsCurrent,2,89800_SHERWIN WILLIAMS CO
1634,1854200000.0,OperatingLeaseRightOfUseAsset,2,89800_SHERWIN WILLIAMS CO
1368,2362000000.0,PropertyPlantAndEquipmentNet,4,89800_SHERWIN WILLIAMS CO
1711,7445400000.0,Goodwill,1,89800_SHERWIN WILLIAMS CO
1732,4103500000.0,IntangibleAssetsNetExcludingGoodwill,2,89800_SHERWIN WILLIAMS CO
1827,11548900000.0,IntangibleAssetsNetIncludingGoodwill,2,89800_SHERWIN WILLIAMS CO
2041,1072000000.0,OtherAssetsNoncurrent,2,89800_SHERWIN WILLIAMS CO
2091,16837100000.0,AssetsNoncurrent,2,89800_SHERWIN WILLIAMS CO
2552,-843100000.0,AccruedLiabilitiesCurrent,2,89800_SHERWIN WILLIAMS CO
