account_num,net_change,tag,tag_depth,cik
2903,-26476000.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,1909747_JUSHI HOLDINGS INC.
2590,-26476000.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,1909747_JUSHI HOLDINGS INC.
1912,-26476000.0,NetIncomeLoss,1,1909747_JUSHI HOLDINGS INC.
1077,-26476000.0,ProfitLoss,2,1909747_JUSHI HOLDINGS INC.
1820,-28254000.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,1909747_JUSHI HOLDINGS INC.
1864,2150000.0,RestrictedCashAndInvestmentsNoncurrent,3,1909747_JUSHI HOLDINGS INC.
2306,2150000.0,RestrictedCashAndCashEquivalentsNoncurrent,3,1909747_JUSHI HOLDINGS INC.
2146,2150000.0,RestrictedCashNoncurrent,2,1909747_JUSHI HOLDINGS INC.
3395,-60492000.0,AccountsPayableAndAccruedLiabilitiesNoncurrent,3,1909747_JUSHI HOLDINGS INC.
3426,-60492000.0,AccruedIncomeTaxesNoncurrent,2,1909747_JUSHI HOLDINGS INC.
1572,65245000.0,FinanceLeaseRightOfUseAsset,3,1909747_JUSHI HOLDINGS INC.
3618,-3107000.0,DerivativeInstrumentsAndHedgesLiabilitiesNoncurrent,4,1909747_JUSHI HOLDINGS INC.
3347,-3107000.0,DerivativeLiabilitiesNoncurrent,2,1909747_JUSHI HOLDINGS INC.
3853,-1387000.0,MinorityInterest,1,1909747_JUSHI HOLDINGS INC.
2841,-32575000.0,TaxesPayableCurrent,2,1909747_JUSHI HOLDINGS INC.
2877,-32575000.0,AccruedIncomeTaxesCurrent,2,1909747_JUSHI HOLDINGS INC.
2603,-136298000.0,NoninterestIncome,1,1909747_JUSHI HOLDINGS INC.
110,-136298000.0,RevenueFromContractWithCustomerExcludingAssessedTax,2,1909747_JUSHI HOLDINGS INC.
2004,-519000.0,OtherNonoperatingIncomeExpense,1,1909747_JUSHI HOLDINGS INC.
144,75803000.0,CostOfRevenue,1,1909747_JUSHI HOLDINGS INC.
171,75803000.0,CostOfGoodsAndServicesSold,2,1909747_JUSHI HOLDINGS INC.
3494,-31454000.0,OtherLiabilitiesNoncurrent,2,1909747_JUSHI HOLDINGS INC.
2716,-14791000.0,LongTermDebtCurrent,2,1909747_JUSHI HOLDINGS INC.
2552,-49857000.0,AccruedLiabilitiesCurrent,2,1909747_JUSHI HOLDINGS INC.
2041,37271000.0,OtherAssetsNoncurrent,2,1909747_JUSHI HOLDINGS INC.
2091,411201000.0,AssetsNoncurrent,2,1909747_JUSHI HOLDINGS INC.
2089,501490000.0,Assets,1,1909747_JUSHI HOLDINGS INC.
2398,-21608000.0,AccountsPayableCurrent,2,1909747_JUSHI HOLDINGS INC.
2347,-71465000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,1909747_JUSHI HOLDINGS INC.
2809,-8786000.0,FinanceLeaseLiabilityCurrent,3,1909747_JUSHI HOLDINGS INC.
2737,-23577000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,3,1909747_JUSHI HOLDINGS INC.
2638,-23577000.0,DebtCurrent,2,1909747_JUSHI HOLDINGS INC.
3154,-127617000.0,LiabilitiesCurrent,2,1909747_JUSHI HOLDINGS INC.
3308,-198641000.0,LongTermDebtNoncurrent,2,1909747_JUSHI HOLDINGS INC.
3378,-52699000.0,FinanceLeaseLiabilityNoncurrent,3,1909747_JUSHI HOLDINGS INC.
1827,136710000.0,IntangibleAssetsNetIncludingGoodwill,2,1909747_JUSHI HOLDINGS INC.
3303,-251340000.0,LongTermDebtAndCapitalLeaseObligations,2,1909747_JUSHI HOLDINGS INC.
3645,-346393000.0,LiabilitiesNoncurrent,2,1909747_JUSHI HOLDINGS INC.
3465,-474010000.0,Liabilities,1,1909747_JUSHI HOLDINGS INC.
3750,-500085000.0,AdditionalPaidInCapital,1,1909747_JUSHI HOLDINGS INC.
3834,-471218000.0,RetainedEarningsAccumulatedDeficit,1,1909747_JUSHI HOLDINGS INC.
3316,-28867000.0,StockholdersEquity,1,1909747_JUSHI HOLDINGS INC.
3260,-27480000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,1909747_JUSHI HOLDINGS INC.
3917,-501490000.0,LiabilitiesAndStockholdersEquity,2,1909747_JUSHI HOLDINGS INC.
232,-60495000.0,GrossProfit,1,1909747_JUSHI HOLDINGS INC.
1112,59606000.0,OperatingExpenses,1,1909747_JUSHI HOLDINGS INC.
1264,-889000.0,OperatingIncomeLoss,1,1909747_JUSHI HOLDINGS INC.
2130,-8671000.0,NonoperatingIncomeExpense,1,1909747_JUSHI HOLDINGS INC.
3796,-95053000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,1909747_JUSHI HOLDINGS INC.
1732,98471000.0,IntangibleAssetsNetExcludingGoodwill,2,1909747_JUSHI HOLDINGS INC.
1368,169825000.0,PropertyPlantAndEquipmentNet,4,1909747_JUSHI HOLDINGS INC.
2399,18694000.0,IncomeTaxExpenseBenefit,1,1909747_JUSHI HOLDINGS INC.
2257,-9560000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,1909747_JUSHI HOLDINGS INC.
2149,-9560000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,1909747_JUSHI HOLDINGS INC.
1711,38239000.0,Goodwill,1,1909747_JUSHI HOLDINGS INC.
645,26784000.0,CashAndCashEquivalentsAtCarryingValue,3,1909747_JUSHI HOLDINGS INC.
577,26784000.0,CashCashEquivalentsAndShortTermInvestments,4,1909747_JUSHI HOLDINGS INC.
1079,3128000.0,RestrictedCashCurrent,2,1909747_JUSHI HOLDINGS INC.
1549,3128000.0,RestrictedCashAndCashEquivalentsAtCarryingValue,3,1909747_JUSHI HOLDINGS INC.
1071,3128000.0,RestrictedCashAndInvestmentsCurrent,3,1909747_JUSHI HOLDINGS INC.
229,5323000.0,AccountsReceivableNetCurrent,3,1909747_JUSHI HOLDINGS INC.
207,5323000.0,AccountsNotesAndLoansReceivableNetCurrent,4,1909747_JUSHI HOLDINGS INC.
