account_num,net_change,tag,tag_depth,cik
59,-577000.0,AllowanceForDoubtfulAccountsReceivableCurrent,3,1738177_CAMBIUM NETWORKS CORP
229,89321000.0,AccountsReceivableNetCurrent,3,1738177_CAMBIUM NETWORKS CORP
320,89438000.0,ReceivablesNetCurrent,3,1738177_CAMBIUM NETWORKS CORP
455,57068000.0,InventoryNet,2,1738177_CAMBIUM NETWORKS CORP
260,57068000.0,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,4,1738177_CAMBIUM NETWORKS CORP
207,89321000.0,AccountsNotesAndLoansReceivableNetCurrent,4,1738177_CAMBIUM NETWORKS CORP
645,48162000.0,CashAndCashEquivalentsAtCarryingValue,3,1738177_CAMBIUM NETWORKS CORP
577,48162000.0,CashCashEquivalentsAndShortTermInvestments,4,1738177_CAMBIUM NETWORKS CORP
3279,-8617000.0,DeferredRevenueNoncurrent,2,1738177_CAMBIUM NETWORKS CORP
3339,-8617000.0,ContractWithCustomerLiabilityNoncurrent,3,1738177_CAMBIUM NETWORKS CORP
1652,9173000.0,FiniteLivedIntangibleAssetsNet,2,1738177_CAMBIUM NETWORKS CORP
69,48162000.0,CashAndDueFromBanks,2,1738177_CAMBIUM NETWORKS CORP
501,48162000.0,Cash,1,1738177_CAMBIUM NETWORKS CORP
707,44452000.0,SellingAndMarketingExpense,2,1738177_CAMBIUM NETWORKS CORP
2673,-7394000.0,EmployeeRelatedLiabilitiesCurrent,2,1738177_CAMBIUM NETWORKS CORP
2710,-8913000.0,DeferredRevenueCurrent,2,1738177_CAMBIUM NETWORKS CORP
1264,-19880000.0,OperatingIncomeLoss,1,1738177_CAMBIUM NETWORKS CORP
2130,-114000.0,NonoperatingIncomeExpense,1,1738177_CAMBIUM NETWORKS CORP
2764,-8913000.0,ContractWithCustomerLiabilityCurrent,3,1738177_CAMBIUM NETWORKS CORP
1709,1977000.0,InterestExpense,1,1738177_CAMBIUM NETWORKS CORP
2149,-21971000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,1738177_CAMBIUM NETWORKS CORP
2257,-18017000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,1738177_CAMBIUM NETWORKS CORP
819,5189000.0,DeferredIncomeTaxExpenseBenefit,1,1738177_CAMBIUM NETWORKS CORP
2399,2183000.0,IncomeTaxExpenseBenefit,1,1738177_CAMBIUM NETWORKS CORP
1854,1977000.0,InterestAndDebtExpense,2,1738177_CAMBIUM NETWORKS CORP
914,10680000.0,AllocatedShareBasedCompensationExpense,2,1738177_CAMBIUM NETWORKS CORP
1112,125260000.0,OperatingExpenses,1,1738177_CAMBIUM NETWORKS CORP
601,69434000.0,SellingGeneralAndAdministrativeExpense,3,1738177_CAMBIUM NETWORKS CORP
