account_num,net_change,tag,tag_depth,cik
2137,-590000.0,BankOwnedLifeInsuranceIncome,1,826154_ORRSTOWN FINANCIAL SERVICES INC
1559,-1888000.0,InvestmentBankingRevenue,1,826154_ORRSTOWN FINANCIAL SERVICES INC
2494,457000.0,TaxesOther,2,826154_ORRSTOWN FINANCIAL SERVICES INC
1459,504000.0,InterestExpenseSubordinatedNotesAndDebentures,3,826154_ORRSTOWN FINANCIAL SERVICES INC
360,-2747000.0,RevenuesExcludingInterestAndDividends,3,826154_ORRSTOWN FINANCIAL SERVICES INC
1867,-859000.0,BrokerageCommissionsRevenue,1,826154_ORRSTOWN FINANCIAL SERVICES INC
1158,529000.0,InterestExpenseBorrowings,2,826154_ORRSTOWN FINANCIAL SERVICES INC
1900,504000.0,InterestExpenseLongTermDebtAndCapitalSecurities,3,826154_ORRSTOWN FINANCIAL SERVICES INC
1588,504000.0,InterestExpenseLongTermDebt,2,826154_ORRSTOWN FINANCIAL SERVICES INC
1466,25000.0,InterestExpenseShortTermBorrowings,2,826154_ORRSTOWN FINANCIAL SERVICES INC
1012,6202000.0,InterestExpenseDeposits,2,826154_ORRSTOWN FINANCIAL SERVICES INC
1248,-60000.0,GainsLossesOnSalesOfAssets,1,826154_ORRSTOWN FINANCIAL SERVICES INC
3917,-3011548000.0,LiabilitiesAndStockholdersEquity,2,826154_ORRSTOWN FINANCIAL SERVICES INC
173,-36786000.0,Revenues,1,826154_ORRSTOWN FINANCIAL SERVICES INC
232,-36786000.0,GrossProfit,1,826154_ORRSTOWN FINANCIAL SERVICES INC
597,3514000.0,GeneralAndAdministrativeExpense,2,826154_ORRSTOWN FINANCIAL SERVICES INC
601,3919000.0,SellingGeneralAndAdministrativeExpense,3,826154_ORRSTOWN FINANCIAL SERVICES INC
961,-11000.0,GainLossOnSaleOfPropertyPlantEquipment,1,826154_ORRSTOWN FINANCIAL SERVICES INC
1002,-11000.0,GainLossOnDispositionOfAssets1,1,826154_ORRSTOWN FINANCIAL SERVICES INC
1112,4993000.0,OperatingExpenses,1,826154_ORRSTOWN FINANCIAL SERVICES INC
1264,-41779000.0,OperatingIncomeLoss,1,826154_ORRSTOWN FINANCIAL SERVICES INC
2130,-590000.0,NonoperatingIncomeExpense,1,826154_ORRSTOWN FINANCIAL SERVICES INC
1709,7983000.0,InterestExpense,1,826154_ORRSTOWN FINANCIAL SERVICES INC
1854,7983000.0,InterestAndDebtExpense,2,826154_ORRSTOWN FINANCIAL SERVICES INC
3260,-240161000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,826154_ORRSTOWN FINANCIAL SERVICES INC
2149,-50352000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,826154_ORRSTOWN FINANCIAL SERVICES INC
2399,2232000.0,IncomeTaxExpenseBenefit,1,826154_ORRSTOWN FINANCIAL SERVICES INC
1820,-13620000.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,826154_ORRSTOWN FINANCIAL SERVICES INC
1077,-13620000.0,ProfitLoss,2,826154_ORRSTOWN FINANCIAL SERVICES INC
1912,-9156000.0,NetIncomeLoss,1,826154_ORRSTOWN FINANCIAL SERVICES INC
2590,-9156000.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,826154_ORRSTOWN FINANCIAL SERVICES INC
2903,-9156000.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,826154_ORRSTOWN FINANCIAL SERVICES INC
1901,21335000.0,DeferredIncomeTaxAssetsNet,2,826154_ORRSTOWN FINANCIAL SERVICES INC
3817,12689000.0,TreasuryStockValue,2,826154_ORRSTOWN FINANCIAL SERVICES INC
3809,-32825000.0,AccumulatedOtherComprehensiveIncomeLossNetOfTax,2,826154_ORRSTOWN FINANCIAL SERVICES INC
456,1063000.0,DepreciationAndAmortization,4,826154_ORRSTOWN FINANCIAL SERVICES INC
581,1063000.0,OperatingCostsAndExpenses,2,826154_ORRSTOWN FINANCIAL SERVICES INC
