account_num,net_change,tag,tag_depth,cik
2494,2071000.0,TaxesOther,2,834285_REPUBLIC FIRST BANCORP INC
325,6627000.0,EquitySecuritiesFvNi,3,834285_REPUBLIC FIRST BANCORP INC
1264,-92257000.0,OperatingIncomeLoss,1,834285_REPUBLIC FIRST BANCORP INC
1709,15141000.0,InterestExpense,1,834285_REPUBLIC FIRST BANCORP INC
1854,15141000.0,InterestAndDebtExpense,2,834285_REPUBLIC FIRST BANCORP INC
2149,-107398000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,834285_REPUBLIC FIRST BANCORP INC
2257,-15586000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,834285_REPUBLIC FIRST BANCORP INC
2399,3805000.0,IncomeTaxExpenseBenefit,1,834285_REPUBLIC FIRST BANCORP INC
1820,-19391000.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,834285_REPUBLIC FIRST BANCORP INC
1112,41690000.0,OperatingExpenses,1,834285_REPUBLIC FIRST BANCORP INC
1077,-19391000.0,ProfitLoss,2,834285_REPUBLIC FIRST BANCORP INC
2590,-909000.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,834285_REPUBLIC FIRST BANCORP INC
2903,-909000.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,834285_REPUBLIC FIRST BANCORP INC
644,18783000.0,NontradeReceivablesCurrent,2,834285_REPUBLIC FIRST BANCORP INC
281,6627000.0,ShortTermInvestments,1,834285_REPUBLIC FIRST BANCORP INC
3817,3725000.0,TreasuryStockValue,2,834285_REPUBLIC FIRST BANCORP INC
3809,-153442000.0,AccumulatedOtherComprehensiveIncomeLossNetOfTax,2,834285_REPUBLIC FIRST BANCORP INC
144,4756000.0,CostOfRevenue,1,834285_REPUBLIC FIRST BANCORP INC
1912,-11781000.0,NetIncomeLoss,1,834285_REPUBLIC FIRST BANCORP INC
456,6455000.0,DepreciationAndAmortization,4,834285_REPUBLIC FIRST BANCORP INC
601,24292000.0,SellingGeneralAndAdministrativeExpense,3,834285_REPUBLIC FIRST BANCORP INC
232,-49272000.0,GrossProfit,1,834285_REPUBLIC FIRST BANCORP INC
645,52452000.0,CashAndCashEquivalentsAtCarryingValue,3,834285_REPUBLIC FIRST BANCORP INC
577,59079000.0,CashCashEquivalentsAndShortTermInvestments,4,834285_REPUBLIC FIRST BANCORP INC
320,18783000.0,ReceivablesNetCurrent,3,834285_REPUBLIC FIRST BANCORP INC
868,77862000.0,AssetsCurrent,2,834285_REPUBLIC FIRST BANCORP INC
1634,73135000.0,OperatingLeaseRightOfUseAsset,2,834285_REPUBLIC FIRST BANCORP INC
1368,130902000.0,PropertyPlantAndEquipmentNet,4,834285_REPUBLIC FIRST BANCORP INC
2091,204037000.0,AssetsNoncurrent,2,834285_REPUBLIC FIRST BANCORP INC
597,23617000.0,GeneralAndAdministrativeExpense,2,834285_REPUBLIC FIRST BANCORP INC
2089,5999254000.0,Assets,1,834285_REPUBLIC FIRST BANCORP INC
3661,-643000.0,CommonStockValue,3,834285_REPUBLIC FIRST BANCORP INC
3750,-326549000.0,AdditionalPaidInCapital,1,834285_REPUBLIC FIRST BANCORP INC
3834,-19601000.0,RetainedEarningsAccumulatedDeficit,1,834285_REPUBLIC FIRST BANCORP INC
3316,-189458000.0,StockholdersEquity,1,834285_REPUBLIC FIRST BANCORP INC
3260,-189458000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,834285_REPUBLIC FIRST BANCORP INC
3917,-5999254000.0,LiabilitiesAndStockholdersEquity,2,834285_REPUBLIC FIRST BANCORP INC
173,-44516000.0,Revenues,1,834285_REPUBLIC FIRST BANCORP INC
3465,-5809796000.0,Liabilities,1,834285_REPUBLIC FIRST BANCORP INC
581,17398000.0,OperatingCostsAndExpenses,2,834285_REPUBLIC FIRST BANCORP INC
1348,-10943000.0,GainLossRelatedToLitigationSettlement,1,834285_REPUBLIC FIRST BANCORP INC
1248,-1713000.0,GainsLossesOnSalesOfAssets,1,834285_REPUBLIC FIRST BANCORP INC
2744,2154000.0,PreferredStockDividendsAndOtherAdjustments,2,834285_REPUBLIC FIRST BANCORP INC
2614,2154000.0,PreferredStockDividendsIncomeStatementImpact,2,834285_REPUBLIC FIRST BANCORP INC
69,15670000.0,CashAndDueFromBanks,2,834285_REPUBLIC FIRST BANCORP INC
421,-42803000.0,NetInvestmentIncome,1,834285_REPUBLIC FIRST BANCORP INC
1968,660000.0,GeneralInsuranceExpense,1,834285_REPUBLIC FIRST BANCORP INC
731,9536000.0,InterestExpenseDemandDepositAccounts,2,834285_REPUBLIC FIRST BANCORP INC
617,18783000.0,InterestReceivableCurrent,2,834285_REPUBLIC FIRST BANCORP INC
116,36782000.0,InterestBearingDepositsInBanks,2,834285_REPUBLIC FIRST BANCORP INC
1174,10943000.0,LegalFees,1,834285_REPUBLIC FIRST BANCORP INC
1541,10143000.0,InterestExpenseDomesticDeposits,2,834285_REPUBLIC FIRST BANCORP INC
1384,607000.0,InterestExpenseTimeDeposits,2,834285_REPUBLIC FIRST BANCORP INC
449,-179000.0,InterestIncomeFederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResell,3,834285_REPUBLIC FIRST BANCORP INC
1167,10943000.0,LitigationSettlementExpense,2,834285_REPUBLIC FIRST BANCORP INC
2302,675000.0,AdvertisingExpense,1,834285_REPUBLIC FIRST BANCORP INC
1115,4756000.0,ProvisionForLoanLossesExpensed,3,834285_REPUBLIC FIRST BANCORP INC
2603,-14962000.0,NoninterestIncome,1,834285_REPUBLIC FIRST BANCORP INC
