account_num,net_change,tag,tag_depth,cik
1205,-1556000.0,InvestmentIncomeNonoperating,2,"926282_ADTRAN HOLDINGS, INC."
3750,-762035000.0,AdditionalPaidInCapital,1,"926282_ADTRAN HOLDINGS, INC."
3834,-8006000.0,RetainedEarningsAccumulatedDeficit,1,"926282_ADTRAN HOLDINGS, INC."
3316,-831996000.0,StockholdersEquity,1,"926282_ADTRAN HOLDINGS, INC."
3260,-820162000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,"926282_ADTRAN HOLDINGS, INC."
1112,137540000.0,OperatingExpenses,1,"926282_ADTRAN HOLDINGS, INC."
232,-87808000.0,GrossProfit,1,"926282_ADTRAN HOLDINGS, INC."
601,67397000.0,SellingGeneralAndAdministrativeExpense,3,"926282_ADTRAN HOLDINGS, INC."
1264,-49732000.0,OperatingIncomeLoss,1,"926282_ADTRAN HOLDINGS, INC."
1563,-304000.0,InvestmentIncomeInterestAndDividend,3,"926282_ADTRAN HOLDINGS, INC."
1665,-304000.0,InvestmentIncomeNet,2,"926282_ADTRAN HOLDINGS, INC."
3661,-787000.0,CommonStockValue,3,"926282_ADTRAN HOLDINGS, INC."
3917,-1938595000.0,LiabilitiesAndStockholdersEquity,2,"926282_ADTRAN HOLDINGS, INC."
3465,-675765000.0,Liabilities,1,"926282_ADTRAN HOLDINGS, INC."
2347,-248326000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,"926282_ADTRAN HOLDINGS, INC."
1732,379286000.0,IntangibleAssetsNetExcludingGoodwill,2,"926282_ADTRAN HOLDINGS, INC."
1827,765041000.0,IntangibleAssetsNetIncludingGoodwill,2,"926282_ADTRAN HOLDINGS, INC."
2041,63152000.0,OtherAssetsNoncurrent,2,"926282_ADTRAN HOLDINGS, INC."
2091,1054787000.0,AssetsNoncurrent,2,"926282_ADTRAN HOLDINGS, INC."
2089,1938595000.0,Assets,1,"926282_ADTRAN HOLDINGS, INC."
2398,-198596000.0,AccountsPayableCurrent,2,"926282_ADTRAN HOLDINGS, INC."
2737,-35441000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,3,"926282_ADTRAN HOLDINGS, INC."
2638,-35441000.0,DebtCurrent,2,"926282_ADTRAN HOLDINGS, INC."
3154,-342204000.0,LiabilitiesCurrent,2,"926282_ADTRAN HOLDINGS, INC."
3335,-180000000.0,LongTermLineOfCredit,2,"926282_ADTRAN HOLDINGS, INC."
3308,-180000000.0,LongTermDebtNoncurrent,2,"926282_ADTRAN HOLDINGS, INC."
3303,-180000000.0,LongTermDebtAndCapitalLeaseObligations,2,"926282_ADTRAN HOLDINGS, INC."
3796,-132115000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,"926282_ADTRAN HOLDINGS, INC."
2130,-1859000.0,NonoperatingIncomeExpense,1,"926282_ADTRAN HOLDINGS, INC."
3645,-312115000.0,LiabilitiesNoncurrent,2,"926282_ADTRAN HOLDINGS, INC."
1709,3287000.0,InterestExpense,1,"926282_ADTRAN HOLDINGS, INC."
2149,-54878000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,"926282_ADTRAN HOLDINGS, INC."
3540,-10698000.0,PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesNoncurrent,5,"926282_ADTRAN HOLDINGS, INC."
1230,-1252000.0,GainLossOnInvestments,1,"926282_ADTRAN HOLDINGS, INC."
184,1058000.0,DebtSecuritiesCurrent,2,"926282_ADTRAN HOLDINGS, INC."
174,1058000.0,AvailableForSaleSecuritiesDebtSecuritiesCurrent,3,"926282_ADTRAN HOLDINGS, INC."
3339,-24907000.0,ContractWithCustomerLiabilityNoncurrent,3,"926282_ADTRAN HOLDINGS, INC."
3279,-24907000.0,DeferredRevenueNoncurrent,2,"926282_ADTRAN HOLDINGS, INC."
2764,-55611000.0,ContractWithCustomerLiabilityCurrent,3,"926282_ADTRAN HOLDINGS, INC."
3400,-442668000.0,RedeemableNoncontrollingInterestEquityCarryingAmount,3,"926282_ADTRAN HOLDINGS, INC."
3333,-442668000.0,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,3,"926282_ADTRAN HOLDINGS, INC."
3564,-10698000.0,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,3,"926282_ADTRAN HOLDINGS, INC."
2601,-24598000.0,NotesAndLoansPayableCurrent,3,"926282_ADTRAN HOLDINGS, INC."
3268,-28674000.0,DeferredCompensationLiabilityClassifiedNoncurrent,3,"926282_ADTRAN HOLDINGS, INC."
2763,-24598000.0,NotesPayableCurrent,2,"926282_ADTRAN HOLDINGS, INC."
1356,8155000.0,AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,3,"926282_ADTRAN HOLDINGS, INC."
1506,8155000.0,DebtSecuritiesNoncurrent,2,"926282_ADTRAN HOLDINGS, INC."
2689,-10843000.0,LinesOfCreditCurrent,2,"926282_ADTRAN HOLDINGS, INC."
3484,-10698000.0,DefinedBenefitPensionPlanLiabilitiesNoncurrent,3,"926282_ADTRAN HOLDINGS, INC."
1781,-1252000.0,NonoperatingGainsLosses,1,"926282_ADTRAN HOLDINGS, INC."
2673,-30333000.0,EmployeeRelatedLiabilitiesCurrent,2,"926282_ADTRAN HOLDINGS, INC."
2841,-19397000.0,TaxesPayableCurrent,2,"926282_ADTRAN HOLDINGS, INC."
3812,5917000.0,TreasuryStockCommonValue,3,"926282_ADTRAN HOLDINGS, INC."
3853,-309072000.0,MinorityInterest,1,"926282_ADTRAN HOLDINGS, INC."
2431,5989000.0,NetIncomeLossAttributableToNoncontrollingInterest,1,"926282_ADTRAN HOLDINGS, INC."
2710,-55611000.0,DeferredRevenueCurrent,2,"926282_ADTRAN HOLDINGS, INC."
1854,3287000.0,InterestAndDebtExpense,2,"926282_ADTRAN HOLDINGS, INC."
110,-323912000.0,RevenueFromContractWithCustomerExcludingAssessedTax,2,"926282_ADTRAN HOLDINGS, INC."
2603,-323912000.0,NoninterestIncome,1,"926282_ADTRAN HOLDINGS, INC."
487,30938000.0,OtherReceivablesNetCurrent,3,"926282_ADTRAN HOLDINGS, INC."
2877,-19397000.0,AccruedIncomeTaxesCurrent,2,"926282_ADTRAN HOLDINGS, INC."
2004,-303000.0,OtherNonoperatingIncomeExpense,1,"926282_ADTRAN HOLDINGS, INC."
1711,385755000.0,Goodwill,1,"926282_ADTRAN HOLDINGS, INC."
581,70143000.0,OperatingCostsAndExpenses,2,"926282_ADTRAN HOLDINGS, INC."
144,236104000.0,CostOfRevenue,1,"926282_ADTRAN HOLDINGS, INC."
2257,-51766000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,"926282_ADTRAN HOLDINGS, INC."
819,24019000.0,DeferredIncomeTaxExpenseBenefit,1,"926282_ADTRAN HOLDINGS, INC."
2399,11313000.0,IncomeTaxExpenseBenefit,1,"926282_ADTRAN HOLDINGS, INC."
1820,-63079000.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,"926282_ADTRAN HOLDINGS, INC."
1077,-40453000.0,ProfitLoss,2,"926282_ADTRAN HOLDINGS, INC."
1912,-34464000.0,NetIncomeLoss,1,"926282_ADTRAN HOLDINGS, INC."
2590,-34464000.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,"926282_ADTRAN HOLDINGS, INC."
2903,-34464000.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,"926282_ADTRAN HOLDINGS, INC."
2716,-35441000.0,LongTermDebtCurrent,2,"926282_ADTRAN HOLDINGS, INC."
491,70143000.0,ResearchAndDevelopmentExpense,2,"926282_ADTRAN HOLDINGS, INC."
281,1058000.0,ShortTermInvestments,1,"926282_ADTRAN HOLDINGS, INC."
1848,32994000.0,LongTermInvestmentsAndReceivablesNet,3,"926282_ADTRAN HOLDINGS, INC."
1901,81631000.0,DeferredIncomeTaxAssetsNet,2,"926282_ADTRAN HOLDINGS, INC."
2552,-49730000.0,AccruedLiabilitiesCurrent,2,"926282_ADTRAN HOLDINGS, INC."
3383,-51850000.0,DeferredIncomeTaxLiabilitiesNet,2,"926282_ADTRAN HOLDINGS, INC."
3494,-15986000.0,OtherLiabilitiesNoncurrent,2,"926282_ADTRAN HOLDINGS, INC."
3817,5917000.0,TreasuryStockValue,2,"926282_ADTRAN HOLDINGS, INC."
3733,-762035000.0,AdditionalPaidInCapitalCommonStock,2,"926282_ADTRAN HOLDINGS, INC."
3809,-55251000.0,AccumulatedOtherComprehensiveIncomeLossNetOfTax,2,"926282_ADTRAN HOLDINGS, INC."
171,236104000.0,CostOfGoodsAndServicesSold,2,"926282_ADTRAN HOLDINGS, INC."
1626,32994000.0,LongTermInvestments,1,"926282_ADTRAN HOLDINGS, INC."
1368,111969000.0,PropertyPlantAndEquipmentNet,4,"926282_ADTRAN HOLDINGS, INC."
260,416291000.0,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,4,"926282_ADTRAN HOLDINGS, INC."
868,883808000.0,AssetsCurrent,2,"926282_ADTRAN HOLDINGS, INC."
645,136457000.0,CashAndCashEquivalentsAtCarryingValue,3,"926282_ADTRAN HOLDINGS, INC."
577,137515000.0,CashCashEquivalentsAndShortTermInvestments,4,"926282_ADTRAN HOLDINGS, INC."
59,-53000.0,AllowanceForDoubtfulAccountsReceivableCurrent,3,"926282_ADTRAN HOLDINGS, INC."
229,262043000.0,AccountsReceivableNetCurrent,3,"926282_ADTRAN HOLDINGS, INC."
207,262043000.0,AccountsNotesAndLoansReceivableNetCurrent,4,"926282_ADTRAN HOLDINGS, INC."
320,292981000.0,ReceivablesNetCurrent,3,"926282_ADTRAN HOLDINGS, INC."
455,416291000.0,InventoryNet,2,"926282_ADTRAN HOLDINGS, INC."
