account_num,net_change,tag,tag_depth,cik
645,3562000.0,CashAndCashEquivalentsAtCarryingValue,3,"84112_GEORGE RISK INDUSTRIES, INC."
577,33548000.0,CashCashEquivalentsAndShortTermInvestments,4,"84112_GEORGE RISK INDUSTRIES, INC."
59,-9767.0,AllowanceForDoubtfulAccountsReceivableCurrent,3,"84112_GEORGE RISK INDUSTRIES, INC."
229,4064000.0,AccountsReceivableNetCurrent,3,"84112_GEORGE RISK INDUSTRIES, INC."
320,4064000.0,ReceivablesNetCurrent,3,"84112_GEORGE RISK INDUSTRIES, INC."
1264,-3155000.0,OperatingIncomeLoss,1,"84112_GEORGE RISK INDUSTRIES, INC."
1563,-458000.0,InvestmentIncomeInterestAndDividend,3,"84112_GEORGE RISK INDUSTRIES, INC."
1665,-458000.0,InvestmentIncomeNet,2,"84112_GEORGE RISK INDUSTRIES, INC."
1205,-458000.0,InvestmentIncomeNonoperating,2,"84112_GEORGE RISK INDUSTRIES, INC."
2130,-330000.0,NonoperatingIncomeExpense,1,"84112_GEORGE RISK INDUSTRIES, INC."
2149,-3485000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,"84112_GEORGE RISK INDUSTRIES, INC."
2257,-2825000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,"84112_GEORGE RISK INDUSTRIES, INC."
2568,853000.0,CurrentIncomeTaxExpenseBenefit,1,"84112_GEORGE RISK INDUSTRIES, INC."
819,347000.0,DeferredIncomeTaxExpenseBenefit,1,"84112_GEORGE RISK INDUSTRIES, INC."
2399,506000.0,IncomeTaxExpenseBenefit,1,"84112_GEORGE RISK INDUSTRIES, INC."
1820,-3331000.0,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3,"84112_GEORGE RISK INDUSTRIES, INC."
1077,-3331000.0,ProfitLoss,2,"84112_GEORGE RISK INDUSTRIES, INC."
1912,-2319000.0,NetIncomeLoss,1,"84112_GEORGE RISK INDUSTRIES, INC."
2590,-2319000.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,"84112_GEORGE RISK INDUSTRIES, INC."
2903,-2319000.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,"84112_GEORGE RISK INDUSTRIES, INC."
281,29986000.0,ShortTermInvestments,1,"84112_GEORGE RISK INDUSTRIES, INC."
2552,-2854000.0,AccruedLiabilitiesCurrent,2,"84112_GEORGE RISK INDUSTRIES, INC."
3383,-1291000.0,DeferredIncomeTaxLiabilitiesNet,2,"84112_GEORGE RISK INDUSTRIES, INC."
3817,4595000.0,TreasuryStockValue,2,"84112_GEORGE RISK INDUSTRIES, INC."
3809,-391000.0,AccumulatedOtherComprehensiveIncomeLossNetOfTax,2,"84112_GEORGE RISK INDUSTRIES, INC."
162,61000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,6,"84112_GEORGE RISK INDUSTRIES, INC."
171,5411000.0,CostOfGoodsAndServicesSold,2,"84112_GEORGE RISK INDUSTRIES, INC."
144,5419000.0,CostOfRevenue,1,"84112_GEORGE RISK INDUSTRIES, INC."
1112,2215000.0,OperatingExpenses,1,"84112_GEORGE RISK INDUSTRIES, INC."
207,4064000.0,AccountsNotesAndLoansReceivableNetCurrent,4,"84112_GEORGE RISK INDUSTRIES, INC."
1002,-8000.0,GainLossOnDispositionOfAssets1,1,"84112_GEORGE RISK INDUSTRIES, INC."
601,2178000.0,SellingGeneralAndAdministrativeExpense,3,"84112_GEORGE RISK INDUSTRIES, INC."
455,12608000.0,InventoryNet,2,"84112_GEORGE RISK INDUSTRIES, INC."
260,12608000.0,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,4,"84112_GEORGE RISK INDUSTRIES, INC."
677,126000.0,PrepaidExpenseCurrent,2,"84112_GEORGE RISK INDUSTRIES, INC."
868,50748000.0,AssetsCurrent,2,"84112_GEORGE RISK INDUSTRIES, INC."
1368,2060000.0,PropertyPlantAndEquipmentNet,4,"84112_GEORGE RISK INDUSTRIES, INC."
1732,1089000.0,IntangibleAssetsNetExcludingGoodwill,2,"84112_GEORGE RISK INDUSTRIES, INC."
1827,1089000.0,IntangibleAssetsNetIncludingGoodwill,2,"84112_GEORGE RISK INDUSTRIES, INC."
2091,3149000.0,AssetsNoncurrent,2,"84112_GEORGE RISK INDUSTRIES, INC."
2089,54254000.0,Assets,1,"84112_GEORGE RISK INDUSTRIES, INC."
2398,-223000.0,AccountsPayableCurrent,2,"84112_GEORGE RISK INDUSTRIES, INC."
2347,-3077000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,"84112_GEORGE RISK INDUSTRIES, INC."
3154,-3469000.0,LiabilitiesCurrent,2,"84112_GEORGE RISK INDUSTRIES, INC."
3796,-1291000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,"84112_GEORGE RISK INDUSTRIES, INC."
3645,-1291000.0,LiabilitiesNoncurrent,2,"84112_GEORGE RISK INDUSTRIES, INC."
